id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
skema-business-school-us-campus,"SKEMA Business School - US Campus",,,,,,,
skidmore-college,"Skidmore College",,,,,,,
smith-college,"Smith College",,,,,,,
shawnee-state-university,"Shawnee State University",,,,,,,
shepherd-university,"Shepherd University",,,,,,,
shippensburg-university-pennsylvania,"Shippensburg University of Pennsylvania",,,,,,,
siena-university,"Siena University",,,,,,,
soka-university-america,"Soka University of America",,,,,,,
simmons-university,"Simmons University",,,,,,,
simons-rock-bard-college,"Simon’s Rock at Bard College",,,,,,,
simpson-college,"Simpson College",,,,,,,
southern-illinois-university-carbondale,"Southern Illinois University Carbondale",,,,,,,
spelman-college,"Spelman College",,,,,,,
south-carolina-state-university,"South Carolina State University",,,,,,,
southeast-missouri-state-university,"Southeast Missouri State University",,,,,,,
southeastern-university,"Southeastern University",,,,,,,
southern-california-institute-architecture,"Southern California Institute of Architecture",,,,,,,
st-marys-university,"St. Mary's University",,,,,,,
southern-connecticut-state-university,"Southern Connecticut State University",,,,,,,
spring-hill-college,"Spring Hill College",,,,,,,
springfield-college,"Springfield College",,,,,,,
st-ambrose-university,"St. Ambrose University",,,,,,,
st-marys-college-maryland,"St. Mary's College of Maryland",,,,,,,
southern-illinois-university-edwardsville,"Southern Illinois University Edwardsville",,,,,,,
southern-methodist-university,"Southern Methodist University",,,,,,,
southern-nazarene-university,"Southern Nazarene University",,,,,,,
southern-new-hampshire-university,"Southern New Hampshire University",,,,,,,
talladega-college,"Talladega College",,,,,,,
southern-university-new-orleans-suno,"Southern University at New Orleans (SUNO)",,,,,,,
southwestern-university,"Southwestern University",,,,,,,
spalding-university,"Spalding University",,,,,,,
spartanburg-methodist-college,"Spartanburg Methodist College",,,,,,,
st-bonaventure-university,"St. Bonaventure University",,,,,,,
st-catherine-university,"St. Catherine University",,,,,,,
st-edwards-university,"St. Edward's University",,,,,,,
st-francis-college,"St. Francis College",,,,,,,
st-john-fisher-university,"St. John Fisher University",,,,,,,
st-johns-college-md,"St. John's College (MD)",,,,,,,
st-johns-college-nm,"St. John's College (NM)",,,,,,,
stephen-f-austin-state-university,"Stephen F. Austin State University",,,,,,,
st-johns-university-ny,"St. John's University (NY)",,,,,,,
st-josephs-university-new-york-brooklyn-campus,"St. Joseph's University, New York - Brooklyn Campus",,,,,,,
st-josephs-university-new-york-long-island-campus,"St. Joseph’s University, New York - Long Island Campus",,,,,,,
st-lawrence-university,"St. Lawrence University",,,,,,,
st-norbert-college,"St. Norbert College",,,,,,,
st-olaf-college,"St. Olaf College",,,,,,,
st-thomas-university-canada,"St. Thomas University, Canada",,,,,,,
st-thomas-university-fl,"St. Thomas University (FL)",,,,,,,
stephens-college,"Stephens College",,,,,,,
sterling-college,"Sterling College",,,,,,,
stetson-university,"Stetson University",,,,,,,
stevens-institute-technology,"Stevens Institute of Technology",,,,,,,
stevenson-university,"Stevenson University",,,,,,,
stockton-university,"Stockton University",,,,,,,
stonehill-college,"Stonehill College",,,,,,,
suny-binghamton-university,"SUNY Binghamton University",,,,,,,
suny-buffalo-state-university,"SUNY Buffalo State University",,,,,,,
suny-university-albany,"SUNY, University at Albany",,,,,,,
suny-university-buffalo,"SUNY University at Buffalo",,,,,,,
susquehanna-university,"Susquehanna University",,,,,,,
suny-cobleskill,"SUNY Cobleskill",,,,,,,
suny-college-geneseo,"SUNY College at Geneseo",,,,,,,
suny-cortland,"SUNY Cortland",,,,,,,
suny-fredonia,"SUNY Fredonia",,,,,,,
texas-am-university-galveston,"Texas A&M University at Galveston",,,,,,,
suny-new-paltz,"SUNY New Paltz",,,,,,,
suny-oneonta,"SUNY Oneonta",,,,,,,
suny-oswego,"SUNY Oswego",,,,,,,
suny-plattsburgh,"SUNY Plattsburgh",,,,,,,
suny-potsdam,"SUNY Potsdam",,,,,,,
suny-stony-brook-university,"SUNY Stony Brook University",,,,,,,
tecnologico-de-monterrey,"Tecnológico de Monterrey",,,,,,,
temple-university-japan-campus,"Temple University, Japan Campus",,,,,,,
temple-university,"Temple University",,,,,,,
swarthmore-college,"Swarthmore College",,,,,,,
sweet-briar-college,"Sweet Briar College",,,,,,,
syracuse-university,"Syracuse University",,,,,,,
taejae-university,"Taejae University",,,,,,,
tarleton-state-university,"Tarleton State University",,,,,,,
taylor-university,"Taylor University",,,,,,,
thomas-college,"Thomas College",,,,,,,
thomas-edison-state-university,"Thomas Edison State University",,,,,,,
texas-am-university-san-antonio,"Texas A&M University-San Antonio",,,,,,,
texas-am-university,"Texas A&M University",,,,,,,
texas-christian-university,"Texas Christian University",,,,,,,
texas-lutheran-university,"Texas Lutheran University",,,,,,,
texas-tech-university,"Texas Tech University",,,,,,,
texas-wesleyan-university,"Texas Wesleyan University",,,,,,,
triton-college,"Triton College",,,,,,,
truman-state-university,"Truman State University",,,,,,,
tulane-university,"Tulane University",,,,,,,
ucam-universidad-catolica-de-murcia,"UCAM Universidad Católica de Murcia",,,,,,,
thomas-jefferson-university,"Thomas Jefferson University",,,,,,,
thomas-more-university,"Thomas More University",,,,,,,
tiffin-university,"Tiffin University",,,,,,,
transylvania-university,"Transylvania University",,,,,,,
trine-university,"Trine University",,,,,,,
trinity-university,"Trinity University",,,,,,,
trinity-washington-university,"Trinity Washington University",,,,,,,
