id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
wilfrid-laurier-university,"Wilfrid Laurier University",70.00,6.5,3.00,,"April 1",17000,10.00
avila-university,"Avila University",78.00,6.0,2.50,1000,Rolling,1200,5.00
auburn-university-montgomery,"Auburn University at Montgomery",92.00,6.0,2.00,920,Rolling,4471,3.00
missouri-university-science-and-technology,"Missouri University of Science and Technology",84.00,6.0,3.00,1130,"August 1",5967,14.00
cardiff-university,"Cardiff University",14.50,6.5,3.30,1250,"January 31",24000,24.00
carnegie-mellon-university-qatar,"Carnegie Mellon University in Qatar",12.00,6.5,3.50,1400,"February 1",400,70.00
university-of-buffalo,"University of Buffalo",68.00,6.5,3.00,1140,"May 1",23467,15.00
university-arizona,"The University of Arizona",85.00,6.5,3.00,1090,Rolling,36753,12.00
university-of-east-anglia,"University of East Anglia",14.50,6.0,3.00,1100,"January 15",14000,25.00
transport-and-telecommunication-institute-tsi,"Transport and Telecommunication Institute (TSI)",60.00,5.5,2.50,,Rolling,700,30.00
budapest-university-of-technology-and-economics,"Budapest University of Technology and Economics",45.00,6.0,3.00,1100,"May 15",15000,12.00
st-thomas-aquinas-college,"St. Thomas Aquinas College",,,,,,,
webster-university,"Webster University",,,,,,,
texas-state-university,"Texas State University",,,,,,,
western-oregon-university,"Western Oregon University",,,,,,,
university-hartford,"University of Hartford",,,,,,,
tallinn-university,"Tallinn University",,,,,,,
michigan-state-university,"Michigan State University",76.00,6.5,3.00,1140,Rolling,40470,9.00
new-york-university-abu-dhabi,"New York University Abu Dhabi",4.00,7.0,3.70,1400,"January 5",1600,85.00
university-of-pisa,"University of Pisa",60.00,6.0,2.50,,"May 31",22000,7.00
city-university-malaysia,"City University Malaysia",60.00,5.5,2.50,,Rolling,1500,15.00
columbia-university,"Columbia University",3.90,7.0,3.90,1480,"January 1",8596,22.00
university-of-kansas,"University of Kansas",91.00,6.0,3.00,1080,Rolling,21541,9.00
louisiana-state-university,"Louisiana State University",73.00,6.5,3.00,1080,"May 15",30750,5.00
tufts-university,"Tufts University",9.00,7.0,3.00,1350,"January 15",6768,16.00
california-state-university,"California State University",63.00,6.0,3.00,1000,"November 30",419830,5.00
university-dubuque,"University of Dubuque",75.00,6.0,2.50,,Rolling,1700,5.00
university-of-huddersfield,"⁠University of Huddersfield",68.00,6.0,2.70,,Rolling,19000,22.00
dakota-wesleyan-university,"Dakota Wesleyan University",67.00,6.0,2.50,,Rolling,700,5.00
university-of-connecticut,"University of Connecticut",49.00,6.5,3.00,1170,"January 15",24079,8.00
university-of-cassino-and-southern-lazio,"University of Cassino and Southern Lazio",60.00,5.5,2.50,,"July 31",6500,8.00
oklahoma-city-university,"Oklahoma City University",77.00,6.0,3.00,1060,Rolling,2400,5.00
schreiner-university,"Schreiner University",64.00,6.0,2.50,900,Rolling,1250,3.00
university-chicago,"University of Chicago",5.40,7.0,3.70,1500,"January 2",7675,23.00
university-of-pennsylvania,"University of Pennsylvania",,,,,,,
university-pennsylvania,"University of Pennsylvania",,,,,,,
aurak-american-university-of-ras-al-khaimah,"AURAK (American University of Ras Al Khaimah)",,,,,,,
university-illinois-chicago,"University of Illinois Chicago",,,,,,,
university-of-bristol,"University of Bristol",12.10,6.5,3.50,1300,"January 29",22000,23.00
university-hong-kong,"The University of Hong Kong",,,,,,,
holy-cross-college-at-notre-dame,"Holy Cross College at Notre Dame",72.00,6.5,3.00,1070,Rolling,534,3.00
university-college-dublin,"University College Dublin",20.00,6.5,3.00,,Rolling,22000,33.00
university-of-leeds,"University of Leeds",,,,,,,
semmelweis-university,"Semmelweis University",,,,,,,
university-pacific,"University of the Pacific",93.00,6.5,3.00,1080,Rolling,3600,12.00
university-of-economics-and-business,"University of Economics and Business",12.00,6.5,3.30,1250,"April 30",12000,15.00
university-connecticut,"University of Connecticut",49.00,6.5,3.00,1170,"February 1",24020,8.00
university-oregon,"University of Oregon",86.00,6.5,3.00,1100,"January 15",20875,13.00
